Presenter Name,Institution
L. Medina,"University Austral Valdivia, Chile"
L. Montero Moguel,"University of Texas at San Antonio San Antonio, USA"
L. Osterhus,"Hamburg University of Technology Hamburg, Germany"
L. Singelmann,"Minnesota State University, Mankato – Department of Integrated Engineering Virginia, MN"
L. Singelmann,"Minnesota State University, Mankato – Iron Range Engineering Virginia, MN, USA"
L. Van den Broeck,"KU Leuven, Faculty of Engineering Technology, LESEC, ETHER Sint-Katelijne-Waver, Belgium"
L. Van den Broeck,"KU Leuven, LESEC, Faculty of Engineering Technology, ETHER Leuven, Belgium"
L. Zhu,"Institute of China’s Science, Technology and Education Policy, Zhejiang University Hangzhou, China"
L. van den Heuvel,"Delft University of Technology Delft, The Netherlands"
Lauren Schrock,"WMG, University of Warwick Coventry, UK"
Linda Steuer-Dankert,"Department of Energy Technology, FH Aachen University of Applied Sciences Jülich, Germany"
Literature,Faculty I- Humanities and Educational Sciences
Lorenzo Becce,"Centre for Plant Health, Free University of Bozen-Bolzano, Italy"
Louise O'Gorman,"Atlantic Technological University Sligo, Ireland"
Luis Montero Moguel,"The University of Texas at San Antonio San Antonio, USA"
M Bots,"Eindhoven University of Technology Eindhoven, Netherlands"
M Carden,"Atlantic Technological University Sligo Sligo, Ireland"
M Decker,Research Group Gender and Diversity in Engineering RWTH Aachen University
M Di Benedetti,"The University of Sheffield Sheffield, U.K."
M Ersoy,"University of Birmingham Birmingham, UK"
M Keenan,"Ulster University Belfast, United Kingdom"
M Kjellberg,"Chalmers University of Technology Gothenburg, Swedenhttps://orcid.org/---X"
M Livada,"Department of Engineering, City University of London London, United Kingdom"
M McNea*,"School of Engineering, University of Limerick Limerick, Ireland"
M Morgan,"Ulster University Belfast, United Kingdom"
M Nolan,"Atlantic Technological University Sligo Sligo, Ireland"
M O’Connell                   B Bergman,"Chalmers University of Technology      Chalmers University of Technology Gothenburg, Sweden              Gothenburg, Swedenhttps://orcid.org/---https://orcid.org/---"
M Prince,Aston University Birmingham
"M ShaikhAston University Birmingham, UK","A AlaswadAston University Birmingham, UK"
M Uddin,"East Tennessee State University Johnson City, TN, USA"
M Villarroel,"Universidad Politécnica de Madrid - WP-EELISA University Alliance Madrid, Spain"
M Westerhof,"Technological University Dublin Dublin, Ireland"
M. A. Obeidi,"School of Mechanical & Manufacturing Engineering, Dublin City University, Dublin, Ireland"
M. Bocahut,"EPF Engineering School Montpellier, France"
M. Boon,"University of Twente Enschede, The Netherlands"
M. Bots,"Eindhoven University of Technology, the Netherlands Eindhoven, the Netherlands"
M. Boussé,"Department of Advanced Computing Sciences, FSE, Maastricht University Maastricht, the Netherlands"
M. D. Endedijk,"University of Twente Enschede, the Netherlands"
M. Decker,"Research Group Gender and Diversity in Engineering, RWTH Aachen University Aachen, Germany"
M. Fong-Emmerson,"School of Business and Law, Edith Cowan University Perth, Australia"
M. Haavisto,"Tampere University, Tampere, Finland ORCID ---"
M. I. Bieber,"Faculty of Humanities, Otto von Guericke University Magdeburg Magdeburg, Germany"
M. Jäckle,"Karlsruhe Institute of Technology Karlsruhe, Germany"
